name,log_loss,brier,auc_ovr,auc_any,p@10%,p@5%
0. majority class,1.0998546125254676,0.6674017767574365,0.5,0.5,0.6159921461181024,0.6306631696129611
1. clock + scoreline only,1.095239813357709,0.663923168171773,0.5366159578438666,0.5492937049225836,0.6639922344387948,0.6742451122983542
A. cumulative counts,1.0896252911216637,0.6600030140469277,0.5592903788813793,0.5421310103004163,0.6616159459918173,0.6805129903297579
E. Elo only,1.0865934423183556,0.6581512022171331,0.574091744130964,0.539622962841591,0.6434949956794017,0.6177079147894257
A+E. counts + Elo,1.0796854268581046,0.6530491578910468,0.5860064033376916,0.5478013669160132,0.6531446358568177,0.6695946597998731
B-tfidf. last 10 lines,1.0991666561166167,0.6669406785748997,0.5181021222287433,0.5215730712130406,0.6463284527231483,0.6513104020924266
C. CEILING (sees future events),1.0819127215172062,0.6553335114640069,0.5795934935158024,0.5610570024745836,0.6744068475651247,0.6661571889228902
C+. CEILING + counts + Elo,1.0723156190511824,0.6485150179802762,0.6000378531721712,0.5552400887648204,0.6652651564185031,0.6683561836027038
