name,log_loss,brier,auc_ovr,auc_any,auc_side,p@10%,p@5%
0. majority class,0.5215336562060819,0.2629202342501556,0.5,0.5,0.5,0.15381056912082242,0.1581770684535404
1. clock + scoreline only,0.5199263601394417,0.26246302437627617,0.538767355506232,0.5337620440619045,0.542743776811181,0.19985353551240062,0.19830374816731877
A. cumulative counts,0.5201267473161616,0.2628595433307467,0.5430665256048921,0.5146540684304708,0.6027556689261273,0.16910066087305917,0.1861243432520919
E. Elo only,0.5176611076824021,0.26222506476533747,0.5650404448055731,0.5355059726129517,0.6318418362303689,0.17374305492831543,0.1666665393529305
A+E. counts + Elo,0.5177167910853256,0.26231880917591555,0.5635673957036419,0.5251486127167092,0.6467852316895981,0.1744765071417765,0.171670446611494
B-tfidf. last 10 lines,0.5206541086284782,0.2624597722425405,0.523058812778164,0.5237650007116054,0.5150947782636592,0.19204955004908278,0.2385477474889912
C. CEILING (sees future events),0.5105430082592901,0.26040075006749813,0.599732551951928,0.570712965357102,0.6831828868420614,0.21136589001342512,0.24310876208780266
C+. CEILING + counts + Elo,0.5098561692540976,0.26066070076780207,0.6070438779639716,0.566791123200346,0.7056518500016344,0.20408972573669934,0.2117538396549696
