log_loss,brier,p@10%,p@5%,auc_any,auc_side,auc_ovr,model,test_season
0.5539100997131566,0.2838776910481667,0.16606498194945848,0.16967509025270758,0.5,0.5,0.5,0. majority class,2023-24
0.522863663702324,0.26339203978262277,0.1687612208258528,0.17985611510791366,0.5,0.5,0.5,0. majority class,2024-25
0.4878272052027653,0.24149097191967736,0.12660550458715597,0.125,0.5,0.5,0.5,0. majority class,2025-26
0.5504357205677672,0.28266345662955644,0.2364620938628159,0.23826714801444043,0.556470550688024,0.5548356288328139,0.5586610799465315,1. clock + scoreline only,2023-24
0.5221902638999025,0.2635267084984822,0.17594254937163376,0.16546762589928057,0.5210558695302799,0.5556057919621749,0.5353736530669773,1. clock + scoreline only,2024-25
0.4871530959506553,0.2411989080007898,0.1871559633027523,0.19117647058823528,0.5237597119674097,0.5177899096385542,0.5222673335051874,1. clock + scoreline only,2025-26
0.5525354052714743,0.28361264883799253,0.18050541516245489,0.21299638989169675,0.510998978714255,0.6135317181059616,0.5389754078950388,A. cumulative counts,2023-24
0.521333959941964,0.263476279863182,0.15798922800718132,0.17625899280575538,0.5193787548584758,0.5985756501182034,0.5466623819611058,A. cumulative counts,2024-25
0.48651087673504634,0.2414897012910655,0.1688073394495413,0.16911764705882354,0.5135844717186815,0.5961596385542169,0.5435617869585315,A. cumulative counts,2025-26
0.5498591915175771,0.28296389542853934,0.18772563176895307,0.20577617328519857,0.5351545702537088,0.6421458731275762,0.5646800682670826,E. Elo only,2023-24
0.517092860266735,0.2624148514267132,0.1867145421903052,0.1618705035971223,0.536902408739473,0.659290780141844,0.5753895599463918,E. Elo only,2024-25
0.4860312712628944,0.2412964474407599,0.14678899082568808,0.1323529411764706,0.5344609388456733,0.5940888554216868,0.5550517062032448,E. Elo only,2025-26
0.5509847691433356,0.28328835197140434,0.18953068592057762,0.18050541516245489,0.5218224239410879,0.656368754398311,0.5614963187006584,A+E. counts + Elo,2023-24
0.5169825406912961,0.2625221501657173,0.1687612208258528,0.16906474820143885,0.5297072067691608,0.6672399527186761,0.5757977593422178,A+E. counts + Elo,2024-25
0.4851830634213451,0.24114592539062507,0.1651376146788991,0.16544117647058823,0.5239162074398787,0.6167469879518073,0.5534081090680495,A+E. counts + Elo,2025-26
0.553818634886659,0.28389696898818195,0.16425992779783394,0.18411552346570398,0.4932251032804005,0.5327787272544486,0.5076036699751543,B-tfidf. last 10 lines,2023-24
0.5218381242918213,0.262799254566522,0.21005385996409337,0.23741007194244604,0.5325716218941327,0.5147872340425532,0.5272984014084644,B-tfidf. last 10 lines,2024-25
0.48630556670695424,0.24068309317291764,0.2018348623853211,0.29411764705882354,0.5454982769602829,0.49771837349397596,0.5342743669508734,B-tfidf. last 10 lines,2025-26
0.5417628794541092,0.28054299185297066,0.22743682310469315,0.2527075812274368,0.5743950033786897,0.6844827586206896,0.6008328758207878,C. CEILING (sees future events),2023-24
0.5135512601520122,0.26193076426934436,0.19748653500897667,0.22661870503597123,0.5584626794322045,0.6917375886524822,0.5903086220836062,C. CEILING (sees future events),2024-25
0.47631488517174886,0.2387284940801794,0.20917431192660552,0.25,0.5792812132604119,0.6733283132530121,0.6080561579513898,C. CEILING (sees future events),2025-26
0.5434860305477132,0.28118838088491255,0.20397111913357402,0.21299638989169675,0.5680413630325276,0.6842314265607722,0.6003471735167375,C+. CEILING + counts + Elo,2023-24
0.5094450959340495,0.26153209887843804,0.20646319569120286,0.1906474820143885,0.5684171169852421,0.7316548463356973,0.6143375526674866,C+. CEILING + counts + Elo,2024-25
0.47663738128053007,0.23926162254005565,0.2018348623853211,0.23161764705882354,0.5639148895832682,0.7010692771084338,0.6064469077076908,C+. CEILING + counts + Elo,2025-26
