model,logloss_vs_majority,ci_low,ci_high,p_better
0. majority class,0.0,0.0,0.0,0.0
1. clock + scoreline only,0.0008802505881274675,-0.004817577312547028,0.006289627863961968,0.365
A. cumulative counts,0.0025650737047563594,-0.008262819493646984,0.013660193141925387,0.3275
E. Elo only,-0.007563112211222139,-0.022008146904385278,0.007212966506956013,0.8405
A+E. counts + Elo,-0.007143092009748339,-0.022146039992820048,0.008295527852601431,0.8255
B-tfidf. last 10 lines,-0.0004488800230814888,-0.0029486651283324172,0.002046885409138004,0.6425
C. CEILING (sees future events),-0.010776229521121608,-0.02015588282521738,-0.001321965870881007,0.9905
C+. CEILING + counts + Elo,-0.012392253321810332,-0.027169247614543653,0.0035947203458197843,0.939
