log_loss,brier,p@10%,p@5%,auc_any,auc_side,auc_ovr,model,test_season
0.9765988077509667,0.5797884148342356,0.4404332129963899,0.4404332129963899,0.5,0.5,0.5,0. majority class,2023-24
0.9424646238018424,0.5538907824977054,0.42010771992818674,0.44964028776978415,0.5,0.5,0.5,0. majority class,2024-25
0.9125911531015045,0.5318440244396047,0.3357798165137615,0.34191176470588236,0.5,0.5,0.5,0. majority class,2025-26
0.9746833265484147,0.5787836664333308,0.4693140794223827,0.4620938628158845,0.532309064234886,0.5472072758990177,0.5329786655294716,1. clock + scoreline only,2023-24
0.9408967785115451,0.5533983789815827,0.38061041292639136,0.3669064748201439,0.515896082339576,0.5446852308654414,0.5300408244321503,1. clock + scoreline only,2024-25
0.9148280010510232,0.5328863502336606,0.3761467889908257,0.3639705882352941,0.5133094087457176,0.4915454863199649,0.5069635834191216,1. clock + scoreline only,2025-26
0.9741662036566099,0.5787977556699897,0.44765342960288806,0.48375451263537905,0.5004903776259745,0.6041881474934943,0.5398709425651615,A. cumulative counts,2023-24
0.9357017460776078,0.551466941040291,0.362657091561939,0.39928057553956836,0.5122108012870661,0.6085536601466143,0.5481826543385279,A. cumulative counts,2024-25
0.9129707094455934,0.5326278043684796,0.3743119266055046,0.35661764705882354,0.5101626669329778,0.5703936566254287,0.5333106796205546,A. cumulative counts,2025-26
0.9752114911649042,0.5798099266487737,0.42418772563176893,0.44404332129963897,0.508420175050798,0.5681581219908791,0.5294830566157066,A-rec. last-10min counts,2023-24
0.942312007205315,0.5548733748852566,0.35547576301615796,0.35611510791366907,0.5014380174284528,0.5713646075808637,0.5259464246799507,A-rec. last-10min counts,2024-25
0.9128457090655591,0.532216635765967,0.3577981651376147,0.33088235294117646,0.49855489990896207,0.5440425194674297,0.5157636986029743,A-rec. last-10min counts,2025-26
0.9722272802788623,0.5778174952048469,0.4584837545126354,0.49097472924187724,0.5151932046666043,0.5997706786352779,0.5392540847389097,A+rec. cumulative + recent,2023-24
0.9373980091800438,0.5528679321770016,0.36983842010771995,0.37410071942446044,0.5034626295059218,0.6041022478546365,0.5423836750866152,A+rec. cumulative + recent,2024-25
