model,logloss_vs_majority,ci_low,ci_high,p_better
0. majority class,0.0,0.0,0.0,0.0
1. clock + scoreline only,-0.0006963713565124194,-0.002111404471812249,0.0006914295459712729,0.826
A. cumulative counts,-0.0013162169368795,-0.003564620798445535,0.0009193889336663252,0.863
E. Elo only,-0.0017720947790847074,-0.004668361675120537,0.0011215938545336046,0.8835
A+E. counts + Elo,-0.002624618359800534,-0.005439667433553823,0.00013414774875699566,0.9705
B-tfidf. last 10 lines,-0.0015467081730440797,-0.00289719434228682,-8.592273418952072e-05,0.984
C. CEILING (sees future events),-0.011542827312318359,-0.015622745932183522,-0.007481199678826493,1.0
C+. CEILING + counts + Elo,-0.011142837647852627,-0.015683925222369395,-0.00672423194415262,1.0
