name,log_loss,brier,auc_ovr,auc_any,p@10%,p@5%
0. majority class,0.7837056699111921,0.4399214893006999,0.5,0.5,0.28470636828464185,0.2934319352757335
1. clock + scoreline only,0.7830220173037756,0.43971584888997023,0.5274967590158094,0.5246192158707653,0.30115360381624673,0.3081416688691943
A. cumulative counts,0.7818462980598527,0.43974869866174693,0.5412096303685621,0.506351277435761,0.2771536270460159,0.30561086276444976
E. Elo only,0.7777839985110381,0.4381348068796003,0.5598267538781078,0.5212117838574531,0.29373833444893704,0.293391544992929
A+E. counts + Elo,0.776849169155246,0.43812368362069093,0.5637429931175969,0.5209492595556436,0.28613028772824217,0.30580033743232643
B-tfidf. last 10 lines,0.7837549767897745,0.43992349580310663,0.5119658346128929,0.5083821135082575,0.2961945396445445,0.31295562403337046
C. CEILING (sees future events),0.7639920491946887,0.4319455932785447,0.6040807473981374,0.5764471669264423,0.3805095358698061,0.39567005346667666
C+. CEILING + counts + Elo,0.7625218507931121,0.4323819775145225,0.6082368275026543,0.564927281137393,0.36878635337477705,0.3832247219849943
