model,logloss_vs_majority,ci_low,ci_high,p_better
0. majority class,0.0,0.0,0.0,0.0
1. clock + scoreline only,0.001788460877387586,-0.0003052973354782856,0.00394972298169122,0.0475
A. cumulative counts,-0.0010469217567411445,-0.004555673305467567,0.0027005488448342877,0.709
E. Elo only,-0.0018857195506653977,-0.007203333065060746,0.003192451933601563,0.7765
A+E. counts + Elo,-0.0036508534804784603,-0.008519158359090126,0.0011685442120891,0.9335
B-tfidf. last 10 lines,0.00022686362493252703,-0.0006736914784223169,0.0011241462919948173,0.3035
C. CEILING (sees future events),-0.0202499196057923,-0.027335363473132646,-0.01331652227172783,1.0
C+. CEILING + counts + Elo,-0.01856854277055369,-0.025450045315822234,-0.011620108967198787,1.0
