numbers,words,auc_ovr_gap,ci_low,ci_high,p_numbers_win
A. cumulative counts,B-tfidf. last 3 lines,0.021539555980294146,-0.000928137676422172,0.043681204328423345,0.966
A. cumulative counts,B-tfidf. last 10 lines,0.01971003393655665,-0.0044700865006741305,0.044003235647684075,0.9475
A. cumulative counts,B-tfidf. last 20 lines,0.03931085326389969,0.010091910227609765,0.06764255950727584,0.996
A. cumulative counts,"B. last 20 lines, embeddings",0.045423513927936414,0.019692141199284755,0.06970432392001072,0.9995
A. cumulative counts,"B-mlp. embeddings, PyTorch head",0.03832309969475741,0.011652213786570612,0.06462201207516816,0.998
